MCG	Other	Temp	Members	Top50	Date	Home	Away
8.653	72.921	24	12.601	5	27/3/93	NM	Bris
49.856	60.848	21	25.991	7	3/4/93	Ess	Carl
24.362	59.842	24	16.948	5	17/4/93	NM	Melb
46.588	9.272	22	27.046	8	1/5/93	Ess	Gee
29.296	74.798	17	22.874	7	8/5/93	Rich	StK
34.372	61.938	16	51.646	8	22/5/93	Ess	Adel
17.781	92.086	19	13.015	4	29/5/93	Rich	Syd
37.119	23.360	13	29.945	9	12/6/93	Carl	Gee
44.094	61.168	14	21.643	6	19/6/93	Melb	Ess
19.057	54.887	13	21.464	7	26/6/93	Ess	Rich
20.543	56.466	15	17.296	5	3/7/93	Ess	Bris
40.819	58.921	14	25.597	7	10/7/93	Melb	Gee
44.303	83.475	15	21.485	6	17/7/93	Haw	Melb
67.035	52.635	15	25.991	7	24/7/93	Ess	Carl
34.439	59.652	15	22.351	7	31/7/93	Gee	NM
30.874	73.571	15	24.363	6	7/8/93	Carl	Rich
40.229	22.244	17	23.024	7	14/8/93	Ess	Foot
85.054	76.519	19	36.327	7	21/8/93	Carl	Coll
31.109	44.744	20	18.329	7	28/8/93	Foot	NM
39.492	74.084	29	43.253	6	26/3/94	Ess	WC
27.195	54.932	19	22.001	6	2/4/94	NM	StK
19.609	39.283	23	32.360	5	9/4/94	Rich	WC
61.193	52.574	23	29.346	5	16/4/94	Ess	Melb
74.330	38.515	21	39.164	7	23/4/94	Ess	Coll
27.022	69.546	20	34.486	5	30/4/94	NM	WC
34.601	48.464	17	20.579	5	7/5/94	Melb	NM
35.851	23.567	15	31.942	6	14/5/94	Coll	StK
19.333	77.328	17	13.673	3	21/5/94	Melb	Syd
75.129	69.605	18	33.102	5	28/5/94	Ess	Gee
52.199	40.015	14	28.265	6	11/6/94	Melb	Carl
26.917	40.442	16	18.330	4	18/6/94	Rich	NM
32.528	51.623	15	18.453	4	25/6/94	Melb	Rich
50.141	64.794	15	29.223	4	2/7/94	NM	Ess
49.878	63.899	20	17.360	6	9/7/94	Rich	Foot
85.381	59.319	14	38.083	7	16/7/94	Coll	Carl
38.858	53.276	14	30.768	6	23/7/94	Ess	StK
43.132	38.007	13	29.346	4	30/7/94	Melb	Ess
33.503	41.040	14	19.875	5	6/8/94	Rich	StK
49.872	26.052	12	30.520	7	13/8/94	Melb	Coll
66.555	25.553	14	34.276	10	20/8/94	Coll	Gee
61.231	58.894	18	36.909	5	3/9/94	Ess	Carl
